Database,Table,Column,Datatype,Missing,Distinct
apartment_rentals,Apartment_Buildings,building_full_name,object,0,15
apartment_rentals,Apartment_Buildings,building_description,object,0,3
apartment_rentals,Apartment_Buildings,building_address,object,0,15
apartment_rentals,Apartment_Buildings,building_manager,object,0,15
apartment_rentals,Apartment_Buildings,building_phone,object,0,15
apartment_rentals,Apartments,apt_id,int64,0,15
apartment_rentals,Apartments,building_id,int64,0,9
apartment_rentals,Apartments,apt_type_code,object,0,3
apartment_rentals,Apartments,apt_number,object,0,15
apartment_rentals,Apartments,bathroom_count,int64,0,3
apartment_rentals,Apartments,bedroom_count,int64,0,4
apartment_rentals,Apartments,room_count,object,0,6
apartment_rentals,Apartment_Facilities,apt_id,int64,0,7
apartment_rentals,Apartment_Facilities,facility_code,object,0,4
apartment_rentals,Guests,guest_id,int64,0,15
apartment_rentals,Guests,gender_code,object,0,3
apartment_rentals,Guests,guest_first_name,object,0,15
apartment_rentals,Guests,guest_last_name,object,0,15
apartment_rentals,Guests,date_of_birth,object,0,15
apartment_rentals,Apartment_Bookings,apt_booking_id,int64,0,15
apartment_rentals,Apartment_Bookings,apt_id,int64,0,10
apartment_rentals,Apartment_Bookings,guest_id,int64,0,10
apartment_rentals,Apartment_Bookings,booking_status_code,object,0,2
apartment_rentals,Apartment_Bookings,booking_start_date,object,0,15
apartment_rentals,Apartment_Bookings,booking_end_date,object,0,15
apartment_rentals,View_Unit_Status,apt_id,int64,0,12
apartment_rentals,View_Unit_Status,apt_booking_id,int64,0,12
apartment_rentals,View_Unit_Status,status_date,object,0,20
apartment_rentals,View_Unit_Status,available_yn,int64,0,2
architecture,architect,id,object,0,5
architecture,architect,name,object,0,5
architecture,architect,nationality,object,0,5
architecture,architect,gender,object,0,2
architecture,bridge,architect_id,int64,0,5
architecture,bridge,id,int64,0,15
architecture,bridge,name,object,0,15
architecture,bridge,location,object,0,14
architecture,bridge,length_meters,float64,0,14
architecture,bridge,length_feet,float64,0,14
architecture,mill,architect_id,int64,0,4
architecture,mill,id,int64,0,6
architecture,mill,location,object,0,6
architecture,mill,name,object,0,6
architecture,mill,type,object,0,2
architecture,mill,built_year,int64,0,6
architecture,mill,notes,object,0,1
assets_maintenance,Third_Party_Companies,company_id,int64,0,15
assets_maintenance,Third_Party_Companies,company_type,object,0,2
assets_maintenance,Third_Party_Companies,company_name,object,0,15
assets_maintenance,Third_Party_Companies,company_address,object,0,15
assets_maintenance,Third_Party_Companies,other_company_details,object,0,15
assets_maintenance,Maintenance_Contracts,maintenance_contract_id,int64,0,15
assets_maintenance,Maintenance_Contracts,maintenance_contract_company_id,int64,0,10
assets_maintenance,Maintenance_Contracts,contract_start_date,object,0,15
assets_maintenance,Maintenance_Contracts,contract_end_date,object,0,15
assets_maintenance,Maintenance_Contracts,other_contract_details,object,15,0
assets_maintenance,Parts,part_id,int64,0,3
assets_maintenance,Parts,part_name,object,0,3
assets_maintenance,Parts,chargeable_yn,object,0,2
assets_maintenance,Parts,chargeable_amount,object,0,2
assets_maintenance,Parts,other_part_details,object,3,0
assets_maintenance,Skills,skill_id,int64,0,3
assets_maintenance,Skills,skill_code,object,0,3
assets_maintenance,Skills,skill_description,object,0,3
assets_maintenance,Staff,staff_id,int64,0,15
assets_maintenance,Staff,staff_name,object,0,15
assets_maintenance,Staff,gender,object,0,2
assets_maintenance,Staff,other_staff_details,object,11,2
assets_maintenance,Assets,asset_id,int64,0,15
assets_maintenance,Assets,maintenance_contract_id,int64,0,10
assets_maintenance,Assets,supplier_company_id,int64,0,10
assets_maintenance,Assets,asset_details,object,0,15
assets_maintenance,Assets,asset_make,object,0,9
assets_maintenance,Assets,asset_model,object,0,15
assets_maintenance,Assets,asset_acquired_date,object,0,15
assets_maintenance,Assets,asset_disposed_date,object,0,15
assets_maintenance,Assets,other_asset_details,object,11,1
assets_maintenance,Asset_Parts,asset_id,int64,0,9
assets_maintenance,Asset_Parts,part_id,int64,0,3
assets_maintenance,Maintenance_Engineers,engineer_id,int64,0,15
assets_maintenance,Maintenance_Engineers,company_id,int64,0,11
assets_maintenance,Maintenance_Engineers,first_name,object,0,15
assets_maintenance,Maintenance_Engineers,last_name,object,0,15
assets_maintenance,Maintenance_Engineers,other_details,object,13,1
assets_maintenance,Engineer_Skills,engineer_id,int64,0,13
assets_maintenance,Engineer_Skills,skill_id,int64,0,3
assets_maintenance,Fault_Log,fault_log_entry_id,int64,0,15
assets_maintenance,Fault_Log,asset_id,int64,0,9
assets_maintenance,Fault_Log,recorded_by_staff_id,int64,0,9
assets_maintenance,Fault_Log,fault_log_entry_datetime,object,0,15
assets_maintenance,Fault_Log,fault_description,object,0,2
assets_maintenance,Fault_Log,other_fault_details,object,15,0
assets_maintenance,Engineer_Visits,engineer_visit_id,int64,0,15
assets_maintenance,Engineer_Visits,contact_staff_id,int64,0,8
assets_maintenance,Engineer_Visits,engineer_id,int64,0,8
assets_maintenance,Engineer_Visits,fault_log_entry_id,int64,0,9
assets_maintenance,Engineer_Visits,fault_status,object,0,4
assets_maintenance,Engineer_Visits,visit_start_datetime,object,0,15
assets_maintenance,Engineer_Visits,visit_end_datetime,object,0,15
assets_maintenance,Engineer_Visits,other_visit_details,object,15,0
assets_maintenance,Part_Faults,part_fault_id,int64,0,15
assets_maintenance,Part_Faults,part_id,int64,0,3
assets_maintenance,Part_Faults,fault_short_name,object,0,3
assets_maintenance,Part_Faults,fault_description,object,0,3
assets_maintenance,Part_Faults,other_fault_details,object,15,0
assets_maintenance,Fault_Log_Parts,fault_log_entry_id,int64,0,9
assets_maintenance,Fault_Log_Parts,part_fault_id,int64,0,11
assets_maintenance,Fault_Log_Parts,fault_status,object,0,4
assets_maintenance,Skills_Required_To_Fix,part_fault_id,int64,0,11
assets_maintenance,Skills_Required_To_Fix,skill_id,int64,0,3
baseball_1,all_star,player_id,object,0,1741
baseball_1,all_star,year,int64,0,83
baseball_1,all_star,game_num,int64,0,3
baseball_1,all_star,game_id,object,0,106
baseball_1,all_star,team_id,object,0,49
baseball_1,all_star,league_id,object,0,2
baseball_1,all_star,gp,object,0,3
baseball_1,all_star,starting_pos,object,0,12
baseball_1,appearances,year,int64,0,145
baseball_1,appearances,team_id,object,0,151
baseball_1,appearances,league_id,object,0,7
baseball_1,appearances,player_id,object,0,18660
baseball_1,appearances,g_all,object,0,167
baseball_1,appearances,gs,object,0,165
baseball_1,appearances,g_batting,int64,0,166
baseball_1,appearances,g_defense,object,0,167
baseball_1,appearances,g_p,int64,0,95
baseball_1,appearances,g_c,int64,0,157
baseball_1,appearances,g_1b,int64,0,163
baseball_1,appearances,g_2b,int64,0,164
baseball_1,appearances,g_3b,int64,0,165
baseball_1,appearances,g_ss,int64,0,166
baseball_1,appearances,g_lf,int64,0,164
baseball_1,appearances,g_cf,int64,0,163
baseball_1,appearances,g_rf,int64,0,163
baseball_1,appearances,g_of,int64,0,165
baseball_1,appearances,g_dh,object,0,158
baseball_1,appearances,g_ph,object,0,94
baseball_1,appearances,g_pr,object,0,50
baseball_1,manager_award,player_id,object,0,83
baseball_1,manager_award,award_id,object,0,2
baseball_1,manager_award,year,int64,0,80
baseball_1,manager_award,league_id,object,0,3
baseball_1,manager_award,tie,object,0,2
baseball_1,manager_award,notes,object,0,1
baseball_1,player_award,player_id,object,0,1323
baseball_1,player_award,award_id,object,0,27
baseball_1,player_award,year,int64,0,117
baseball_1,player_award,league_id,object,0,4
baseball_1,player_award,tie,object,0,2
baseball_1,player_award,notes,object,0,29
baseball_1,manager_award_vote,award_id,object,0,2
baseball_1,manager_award_vote,year,int64,0,33
baseball_1,manager_award_vote,league_id,object,0,2
baseball_1,manager_award_vote,player_id,object,0,110
baseball_1,manager_award_vote,points_won,int64,0,117
baseball_1,manager_award_vote,points_max,int64,0,6
baseball_1,manager_award_vote,votes_first,int64,0,30
baseball_1,player_award_vote,award_id,object,0,3
baseball_1,player_award_vote,year,int64,0,97
baseball_1,player_award_vote,league_id,object,0,3
baseball_1,player_award_vote,player_id,object,0,2412
baseball_1,player_award_vote,points_won,float64,0,347
baseball_1,player_award_vote,points_max,int64,0,21
baseball_1,player_award_vote,votes_first,object,0,40
baseball_1,batting,player_id,object,0,18659
baseball_1,batting,year,int64,0,145
baseball_1,batting,stint,int64,0,5
baseball_1,batting,team_id,object,0,149
baseball_1,batting,league_id,object,0,7
baseball_1,batting,g,int64,0,166
baseball_1,batting,ab,object,0,700
baseball_1,batting,r,object,0,168
baseball_1,batting,h,object,0,251
baseball_1,batting,double,object,0,65
baseball_1,batting,triple,object,0,33
baseball_1,batting,hr,object,0,68
baseball_1,batting,rbi,object,0,176
baseball_1,batting,sb,object,0,115
baseball_1,batting,cs,object,0,37
baseball_1,batting,bb,object,0,156
baseball_1,batting,so,object,0,204
baseball_1,batting,ibb,object,0,46
baseball_1,batting,hbp,object,0,42
baseball_1,batting,sh,object,0,55
baseball_1,batting,sf,object,0,21
baseball_1,batting,g_idp,object,0,36
baseball_1,batting_postseason,year,int64,0,119
baseball_1,batting_postseason,round,object,0,14
baseball_1,batting_postseason,player_id,object,0,3973
baseball_1,batting_postseason,team_id,object,0,48
baseball_1,batting_postseason,league_id,object,0,3
baseball_1,batting_postseason,g,int64,0,14
baseball_1,batting_postseason,ab,int64,0,52
baseball_1,batting_postseason,r,int64,0,13
baseball_1,batting_postseason,h,int64,0,19
baseball_1,batting_postseason,double,int64,0,7
baseball_1,batting_postseason,triple,int64,0,5
baseball_1,batting_postseason,hr,int64,0,7
baseball_1,batting_postseason,rbi,int64,0,14
baseball_1,batting_postseason,sb,int64,0,12
baseball_1,batting_postseason,cs,object,0,7
baseball_1,batting_postseason,bb,int64,0,14
baseball_1,batting_postseason,so,int64,0,14
baseball_1,batting_postseason,ibb,object,0,9
baseball_1,batting_postseason,hbp,object,0,6
baseball_1,batting_postseason,sh,object,0,7
baseball_1,batting_postseason,sf,object,0,5
baseball_1,batting_postseason,g_idp,object,0,7
baseball_1,player_college,player_id,object,0,6575
baseball_1,player_college,college_id,object,0,1038
baseball_1,player_college,year,int64,0,151
baseball_1,fielding,player_id,object,0,18465
baseball_1,fielding,year,int64,0,145
baseball_1,fielding,stint,int64,0,5
baseball_1,fielding,team_id,object,0,149
baseball_1,fielding,league_id,object,0,7
baseball_1,fielding,pos,object,0,11
baseball_1,fielding,g,int64,0,166
baseball_1,fielding,gs,object,0,166
baseball_1,fielding,inn_outs,object,0,4310
baseball_1,fielding,po,object,0,1553
baseball_1,fielding,a,object,0,583
baseball_1,fielding,e,object,0,108
baseball_1,fielding,dp,object,0,171
baseball_1,fielding,pb,object,0,90
baseball_1,fielding,wp,object,0,63
baseball_1,fielding,sb,object,0,134
baseball_1,fielding,cs,object,0,72
baseball_1,fielding,zr,object,0,14
baseball_1,fielding_outfield,player_id,object,0,3513
baseball_1,fielding_outfield,year,int64,0,85
baseball_1,fielding_outfield,stint,int64,0,5
baseball_1,fielding_outfield,glf,object,0,158
baseball_1,fielding_outfield,gcf,object,0,160
baseball_1,fielding_outfield,grf,object,0,160
baseball_1,fielding_postseason,player_id,object,0,3726
baseball_1,fielding_postseason,year,int64,0,111
baseball_1,fielding_postseason,team_id,object,0,41
baseball_1,fielding_postseason,league_id,object,0,2
baseball_1,fielding_postseason,round,object,0,13
baseball_1,fielding_postseason,pos,object,0,11
baseball_1,fielding_postseason,g,int64,0,11
baseball_1,fielding_postseason,gs,object,0,10
baseball_1,fielding_postseason,inn_outs,object,0,212
baseball_1,fielding_postseason,po,int64,0,83
baseball_1,fielding_postseason,a,int64,0,34
baseball_1,fielding_postseason,e,int64,0,8
baseball_1,fielding_postseason,dp,int64,0,13
baseball_1,fielding_postseason,tp,int64,0,2
baseball_1,fielding_postseason,pb,object,0,5
baseball_1,fielding_postseason,sb,object,0,16
baseball_1,fielding_postseason,cs,object,0,11
baseball_1,hall_of_fame,player_id,object,0,1239
baseball_1,hall_of_fame,yearid,int64,0,78
baseball_1,hall_of_fame,votedby,object,0,9
baseball_1,hall_of_fame,ballots,object,0,73
baseball_1,hall_of_fame,needed,object,0,64
baseball_1,hall_of_fame,votes,object,0,360
baseball_1,hall_of_fame,inducted,object,0,2
baseball_1,hall_of_fame,category,object,0,4
baseball_1,hall_of_fame,needed_note,object,0,3
baseball_1,home_game,year,int64,0,144
baseball_1,home_game,league_id,object,0,7
baseball_1,home_game,team_id,object,0,148
baseball_1,home_game,park_id,object,0,249
baseball_1,home_game,span_first,object,0,1052
baseball_1,home_game,span_last,object,0,1103
baseball_1,home_game,games,int64,0,87
baseball_1,home_game,openings,int64,0,84
baseball_1,home_game,attendance,int64,0,2388
baseball_1,manager,player_id,object,0,696
baseball_1,manager,year,int64,0,145
baseball_1,manager,team_id,object,0,149
baseball_1,manager,league_id,object,0,7
baseball_1,manager,inseason,int64,0,9
baseball_1,manager,g,int64,0,165
baseball_1,manager,w,int64,0,114
baseball_1,manager,l,int64,0,118
baseball_1,manager,rank,object,0,13
baseball_1,manager,plyr_mgr,object,0,2
baseball_1,manager_half,player_id,object,0,54
baseball_1,manager_half,year,int64,0,2
baseball_1,manager_half,team_id,object,0,33
baseball_1,manager_half,league_id,object,0,2
baseball_1,manager_half,inseason,int64,0,5
baseball_1,manager_half,half,int64,0,2
baseball_1,manager_half,g,int64,0,40
baseball_1,manager_half,w,int64,0,42
baseball_1,manager_half,l,int64,0,34
baseball_1,manager_half,rank,int64,0,12
baseball_1,player,player_id,object,0,18846
baseball_1,player,birth_year,object,0,166
baseball_1,player,birth_month,object,0,13
baseball_1,player,birth_day,object,0,32
baseball_1,player,birth_country,object,0,53
baseball_1,player,birth_state,object,0,246
baseball_1,player,birth_city,object,0,4714
baseball_1,player,death_year,object,0,146
baseball_1,player,death_month,object,0,13
baseball_1,player,death_day,object,0,32
baseball_1,player,death_country,object,0,24
baseball_1,player,death_state,object,0,93
baseball_1,player,death_city,object,0,2554
baseball_1,player,name_first,object,0,2313
baseball_1,player,name_last,object,0,9713
baseball_1,player,name_given,object,0,12437
baseball_1,player,weight,object,0,132
baseball_1,player,height,object,0,23
baseball_1,player,bats,object,0,4
baseball_1,player,throws,object,0,3
baseball_1,player,debut,object,0,10037
baseball_1,player,final_game,object,0,9029
baseball_1,player,retro_id,object,0,18793
baseball_1,player,bbref_id,object,0,18846
baseball_1,park,park_id,object,0,250
baseball_1,park,park_name,object,0,240
baseball_1,park,park_alias,object,0,57
baseball_1,park,city,object,0,83
baseball_1,park,state,object,0,35
baseball_1,park,country,object,0,6
baseball_1,pitching,player_id,object,0,9126
baseball_1,pitching,year,int64,0,145
baseball_1,pitching,stint,int64,0,4
baseball_1,pitching,team_id,object,0,149
baseball_1,pitching,league_id,object,0,7
baseball_1,pitching,w,int64,0,54
baseball_1,pitching,l,int64,0,43
baseball_1,pitching,g,int64,0,94
baseball_1,pitching,gs,int64,0,75
baseball_1,pitching,cg,int64,0,74
baseball_1,pitching,sho,int64,0,15
baseball_1,pitching,sv,int64,0,57
baseball_1,pitching,ipouts,object,0,1314
baseball_1,pitching,h,int64,0,533
baseball_1,pitching,er,int64,0,216
baseball_1,pitching,hr,int64,0,48
baseball_1,pitching,bb,int64,0,210
baseball_1,pitching,so,int64,0,339
baseball_1,pitching,baopp,object,0,426
baseball_1,pitching,era,object,0,1157
baseball_1,pitching,ibb,object,0,23
baseball_1,pitching,wp,object,0,53
baseball_1,pitching,hbp,object,0,35
baseball_1,pitching,bk,int64,0,16
baseball_1,pitching,bfp,object,0,1637
baseball_1,pitching,gf,object,0,79
baseball_1,pitching,r,int64,0,345
baseball_1,pitching,sh,object,0,22
baseball_1,pitching,sf,object,0,16
baseball_1,pitching,g_idp,object,0,28
baseball_1,pitching_postseason,player_id,object,0,1673
baseball_1,pitching_postseason,year,int64,0,119
baseball_1,pitching_postseason,round,object,0,14
baseball_1,pitching_postseason,team_id,object,0,48
baseball_1,pitching_postseason,league_id,object,0,3
baseball_1,pitching_postseason,w,int64,0,5
baseball_1,pitching_postseason,l,int64,0,5
baseball_1,pitching_postseason,g,int64,0,8
baseball_1,pitching_postseason,gs,int64,0,8
baseball_1,pitching_postseason,cg,int64,0,8
baseball_1,pitching_postseason,sho,int64,0,4
baseball_1,pitching_postseason,sv,int64,0,5
baseball_1,pitching_postseason,ipouts,int64,0,90
baseball_1,pitching_postseason,h,int64,0,39
baseball_1,pitching_postseason,er,int64,0,20
baseball_1,pitching_postseason,hr,int64,0,6
baseball_1,pitching_postseason,bb,int64,0,19
baseball_1,pitching_postseason,so,int64,0,31
baseball_1,pitching_postseason,baopp,object,0,221
baseball_1,pitching_postseason,era,object,0,326
baseball_1,pitching_postseason,ibb,object,0,6
baseball_1,pitching_postseason,wp,object,0,7
baseball_1,pitching_postseason,hbp,object,0,5
baseball_1,pitching_postseason,bk,object,0,3
baseball_1,pitching_postseason,bfp,object,0,109
baseball_1,pitching_postseason,gf,int64,0,7
baseball_1,pitching_postseason,r,int64,0,28
baseball_1,pitching_postseason,sh,object,0,9
baseball_1,pitching_postseason,sf,object,0,6
baseball_1,pitching_postseason,g_idp,object,0,8
baseball_1,salary,year,int64,0,31
baseball_1,salary,team_id,object,0,35
baseball_1,salary,league_id,object,0,2
baseball_1,salary,player_id,object,0,4963
baseball_1,salary,salary,int64,0,3266
baseball_1,college,college_id,object,0,1207
baseball_1,college,name_full,object,0,1199
baseball_1,college,city,object,0,856
baseball_1,college,state,object,0,49
baseball_1,college,country,object,0,1
baseball_1,postseason,year,int64,0,119
baseball_1,postseason,round,object,0,14
baseball_1,postseason,team_id_winner,object,0,43
baseball_1,postseason,league_id_winner,object,0,3
baseball_1,postseason,team_id_loser,object,0,45
baseball_1,postseason,league_id_loser,object,0,3
baseball_1,postseason,wins,int64,0,6
baseball_1,postseason,losses,int64,0,6
baseball_1,postseason,ties,int64,0,2
baseball_1,team,year,int64,0,145
baseball_1,team,league_id,object,0,7
baseball_1,team,team_id,object,0,149
baseball_1,team,franchise_id,object,0,120
baseball_1,team,div_id,object,0,4
baseball_1,team,rank,int64,0,13
baseball_1,team,g,int64,0,122
baseball_1,team,ghome,object,0,39
baseball_1,team,w,int64,0,112
baseball_1,team,l,int64,0,113
baseball_1,team,div_win,object,0,3
baseball_1,team,wc_win,object,0,3
baseball_1,team,lg_win,object,0,3
baseball_1,team,ws_win,object,0,3
baseball_1,team,r,int64,0,612
baseball_1,team,ab,int64,0,1096
baseball_1,team,h,int64,0,730
baseball_1,team,double,int64,0,312
baseball_1,team,triple,int64,0,122
baseball_1,team,hr,int64,0,246
baseball_1,team,bb,int64,0,566
baseball_1,team,so,object,0,1028
baseball_1,team,sb,object,0,324
baseball_1,team,cs,object,0,139
baseball_1,team,hbp,object,0,65
baseball_1,team,sf,object,0,47
baseball_1,team,ra,int64,0,608
baseball_1,team,er,int64,0,630
baseball_1,team,era,float64,0,385
baseball_1,team,cg,int64,0,147
baseball_1,team,sho,int64,0,32
baseball_1,team,sv,int64,0,66
baseball_1,team,ipouts,int64,0,638
baseball_1,team,ha,int64,0,743
baseball_1,team,hra,int64,0,232
baseball_1,team,bba,int64,0,566
baseball_1,team,soa,int64,0,1050
baseball_1,team,e,int64,0,446
baseball_1,team,dp,object,0,168
baseball_1,team,fp,float64,0,37
baseball_1,team,name,object,0,139
baseball_1,team,park,object,0,213
baseball_1,team,attendance,object,0,2519
baseball_1,team,bpf,int64,0,43
baseball_1,team,ppf,int64,0,42
baseball_1,team,team_id_br,object,0,101
baseball_1,team,team_id_lahman45,object,0,148
baseball_1,team,team_id_retro,object,0,149
baseball_1,team_franchise,franchise_id,object,0,120
baseball_1,team_franchise,franchise_name,object,0,99
baseball_1,team_franchise,active,object,0,3
baseball_1,team_franchise,na_assoc,object,0,13
baseball_1,team_half,year,int64,0,1
baseball_1,team_half,league_id,object,0,2
baseball_1,team_half,team_id,object,0,26
baseball_1,team_half,half,int64,0,2
baseball_1,team_half,div_id,object,0,2
baseball_1,team_half,div_win,object,0,1
baseball_1,team_half,rank,int64,0,7
baseball_1,team_half,g,int64,0,13
baseball_1,team_half,w,int64,0,20
baseball_1,team_half,l,int64,0,18
battle_death,battle,id,int64,0,8
battle_death,battle,name,object,0,8
battle_death,battle,date,object,0,7
battle_death,battle,bulgarian_commander,object,0,4
battle_death,battle,latin_commander,object,0,6
battle_death,battle,result,object,0,3
battle_death,ship,lost_in_battle,int64,0,5
battle_death,ship,id,int64,0,7
battle_death,ship,name,object,0,7
battle_death,ship,tonnage,object,0,3
battle_death,ship,ship_type,object,0,3
battle_death,ship,location,object,0,3
battle_death,ship,disposition_of_ship,object,0,4
battle_death,death,caused_by_ship_id,int64,0,6
battle_death,death,id,int64,0,13
battle_death,death,note,object,0,9
battle_death,death,killed,int64,0,8
battle_death,death,injured,int64,0,3
behavior_monitoring,Ref_Address_Types,address_type_code,object,0,2
behavior_monitoring,Ref_Address_Types,address_type_description,object,0,2
behavior_monitoring,Ref_Detention_Type,detention_type_code,object,0,3
behavior_monitoring,Ref_Detention_Type,detention_type_description,object,0,3
behavior_monitoring,Ref_Incident_Type,incident_type_code,object,0,3
behavior_monitoring,Ref_Incident_Type,incident_type_description,object,0,3
behavior_monitoring,Addresses,address_id,int64,0,20
behavior_monitoring,Addresses,line_1,object,0,20
behavior_monitoring,Addresses,line_2,object,20,0
behavior_monitoring,Addresses,line_3,object,20,0
behavior_monitoring,Addresses,city,object,0,20
behavior_monitoring,Addresses,zip_postcode,object,0,20
behavior_monitoring,Addresses,state_province_county,object,0,16
behavior_monitoring,Addresses,country,object,0,1
behavior_monitoring,Addresses,other_address_details,object,20,0
behavior_monitoring,Students,student_id,int64,0,15
behavior_monitoring,Students,address_id,int64,0,11
behavior_monitoring,Students,first_name,object,0,15
behavior_monitoring,Students,middle_name,object,0,15
behavior_monitoring,Students,last_name,object,0,15
behavior_monitoring,Students,cell_mobile_number,object,0,15
behavior_monitoring,Students,email_address,object,0,15
behavior_monitoring,Students,date_first_rental,object,0,15
behavior_monitoring,Students,date_left_university,object,0,15
behavior_monitoring,Students,other_student_details,object,11,1
behavior_monitoring,Teachers,teacher_id,int64,0,15
behavior_monitoring,Teachers,address_id,int64,0,11
behavior_monitoring,Teachers,first_name,object,0,15
behavior_monitoring,Teachers,middle_name,object,0,15
behavior_monitoring,Teachers,last_name,object,0,14
behavior_monitoring,Teachers,gender,object,0,2
behavior_monitoring,Teachers,cell_mobile_number,object,0,15
behavior_monitoring,Teachers,email_address,object,0,15
behavior_monitoring,Teachers,other_details,object,14,1
behavior_monitoring,Assessment_Notes,notes_id,int64,0,15
behavior_monitoring,Assessment_Notes,student_id,int64,0,9
behavior_monitoring,Assessment_Notes,teacher_id,int64,0,8
behavior_monitoring,Assessment_Notes,date_of_notes,object,0,15
behavior_monitoring,Assessment_Notes,text_of_notes,object,15,0
behavior_monitoring,Assessment_Notes,other_details,object,15,0
behavior_monitoring,Behavior_Incident,incident_id,int64,0,15
behavior_monitoring,Behavior_Incident,incident_type_code,object,0,3
behavior_monitoring,Behavior_Incident,student_id,int64,0,11
behavior_monitoring,Behavior_Incident,date_incident_start,object,0,15
behavior_monitoring,Behavior_Incident,date_incident_end,object,0,15
behavior_monitoring,Behavior_Incident,incident_summary,object,15,0
behavior_monitoring,Behavior_Incident,recommendations,object,12,1
behavior_monitoring,Behavior_Incident,other_details,object,15,0
behavior_monitoring,Detention,detention_id,int64,0,15
behavior_monitoring,Detention,detention_type_code,object,0,3
behavior_monitoring,Detention,teacher_id,int64,0,9
behavior_monitoring,Detention,datetime_detention_start,object,0,15
behavior_monitoring,Detention,datetime_detention_end,object,0,15
behavior_monitoring,Detention,detention_summary,object,15,0
behavior_monitoring,Detention,other_details,object,15,0
behavior_monitoring,Student_Addresses,student_id,int64,0,14
behavior_monitoring,Student_Addresses,address_id,int64,0,12
behavior_monitoring,Student_Addresses,date_address_from,object,0,20
behavior_monitoring,Student_Addresses,date_address_to,object,0,20
behavior_monitoring,Student_Addresses,monthly_rental,float64,0,20
behavior_monitoring,Student_Addresses,other_details,object,0,2
behavior_monitoring,Students_in_Detention,student_id,int64,0,9
behavior_monitoring,Students_in_Detention,detention_id,int64,0,9
behavior_monitoring,Students_in_Detention,incident_id,int64,0,8
bike_1,station,id,int64,0,70
bike_1,station,name,object,0,70
bike_1,station,lat,float64,0,70
bike_1,station,long,float64,0,70
bike_1,station,dock_count,int64,0,6
bike_1,station,city,object,0,5
bike_1,station,installation_date,object,0,17
bike_1,status,station_id,int64,0,69
bike_1,status,bikes_available,int64,0,18
bike_1,status,docks_available,int64,0,26
bike_1,status,time,object,0,123
bike_1,trip,id,int64,0,9959
bike_1,trip,duration,int64,0,1826
bike_1,trip,start_date,object,0,5009
bike_1,trip,start_station_name,object,0,69
bike_1,trip,start_station_id,int64,0,69
bike_1,trip,end_date,object,0,4971
bike_1,trip,end_station_name,object,0,70
bike_1,trip,end_station_id,int64,0,70
bike_1,trip,bike_id,int64,0,530
bike_1,trip,subscription_type,object,0,2
